iter	Passed	Remaining
429	1775	2353
430	1779	2349
431	1784	2345
432	1787	2341
433	1791	2336
434	1796	2332
435	1800	2328
436	1803	2324
437	1808	2320
438	1812	2316
439	1816	2311
440	1820	2307
441	1824	2303
442	1828	2299
443	1833	2295
444	1837	2291
445	1840	2286
446	1844	2281
447	1848	2277
448	1852	2273
449	1856	2269
450	1861	2265
451	1864	2260
452	1868	2256
453	1872	2251
454	1876	2247
455	1880	2243
456	1884	2239
457	1888	2235
458	1892	2230
459	1896	2226
460	1900	2222
461	1904	2218
462	1908	2213
463	1912	2208
464	1916	2205
465	1920	2200
466	1924	2196
467	1928	2191
468	1932	2187
469	1935	2182
470	1939	2178
471	1943	2174
472	1947	2170
473	1951	2165
474	1956	2161
475	1959	2157
476	1963	2152
477	1967	2148
478	1971	2144
479	1975	2140
480	1979	2136
481	1984	2132
482	1989	2129
483	1994	2125
484	1998	2121
485	2002	2117
486	2007	2114
487	2012	2111
488	2016	2107
489	2020	2103
490	2025	2100
491	2030	2096
492	2034	2092
493	2038	2088
494	2042	2083
495	2046	2079
496	2050	2075
497	2054	2071
498	2058	2067
499	2063	2063
500	2067	2059
501	2071	2054
502	2075	2050
503	2079	2046
504	2083	2041
505	2086	2037
506	2091	2033
507	2094	2028
508	2099	2024
509	2103	2020
510	2107	2016
511	2111	2012
512	2115	2007
513	2118	2003
514	2123	1999
515	2127	1995
516	2130	1990
517	2135	1986
518	2139	1983
519	2143	1978
520	2147	1974
521	2152	1970
522	2156	1966
523	2160	1962
524	2165	1959
525	2169	1954
526	2173	1950
527	2176	1946
528	2181	1941
529	2184	1937
530	2189	1933
531	2193	1929
532	2197	1925
533	2200	1920
534	2204	1916
535	2208	1911
536	2212	1907
537	2216	1903
538	2220	1899
539	2224	1895
540	2229	1891
541	2233	1887
542	2237	1882
543	2240	1878
544	2245	1874
545	2248	1870
546	2252	1865
547	2256	1861
548	2261	1857
549	2264	1853
550	2269	1849
551	2273	1845
552	2278	1841
553	2282	1837
554	2286	1833
555	2290	1828
556	2294	1825
557	2298	1820
558	2302	1816
559	2306	1812
560	2310	1808
561	2314	1803
562	2319	1800
563	2323	1795
564	2327	1791
565	2331	1787
566	2335	1783
567	2338	1778
568	2342	1774
569	2346	1770
570	2350	1766
571	2354	1761
572	2359	1758
573	2364	1754
574	2368	1750
575	2372	1746
576	2375	1741
577	2378	1736
578	2382	1732
579	2386	1728
580	2390	1723
581	2394	1719
582	2398	1715
583	2402	1711
584	2406	1707
585	2410	1702
586	2414	1698
587	2418	1694
588	2421	1690
589	2425	1685
590	2428	1680
591	2432	1676
592	2436	1672
593	2440	1668
594	2444	1663
595	2448	1659
596	2452	1655
597	2456	1651
598	2460	1647
599	2464	1642
600	2468	1638
601	2472	1634
602	2475	1629
603	2479	1625
604	2484	1621
605	2488	1617
606	2491	1613
607	2495	1609
608	2500	1605
609	2504	1600
610	2507	1596
611	2511	1592
612	2515	1588
613	2519	1583
614	2523	1579
615	2527	1575
616	2531	1571
617	2535	1567
618	2539	1563
619	2543	1559
620	2547	1554
621	2551	1550
622	2555	1546
623	2559	1542
624	2563	1538
625	2567	1533
626	2571	1529
627	2575	1525
628	2580	1521
629	2584	1518
630	2589	1514
631	2593	1509
632	2597	1505
633	2601	1502
634	2605	1497
635	2611	1494
636	2615	1490
637	2619	1486
638	2624	1482
639	2628	1478
640	2632	1474
641	2637	1470
642	2641	1466
643	2646	1462
644	2650	1458
645	2654	1454
646	2659	1450
647	2663	1446
648	2667	1442
649	2672	1439
650	2677	1435
651	2682	1431
652	2686	1427
653	2691	1423
654	2695	1419
655	2699	1415
656	2703	1411
657	2708	1407
658	2712	1403
659	2716	1399
660	2721	1395
661	2725	1391
662	2729	1387
663	2734	1383
664	2738	1379
665	2742	1375
666	2746	1371
667	2751	1367
668	2756	1363
669	2760	1359
670	2764	1355
671	2769	1351
672	2773	1347
673	2777	1343
674	2782	1339
675	2786	1335
676	2790	1331
677	2795	1327
678	2799	1323
679	2803	1319
680	2808	1315
681	2812	1311
682	2817	1307
683	2822	1303
684	2826	1299
685	2830	1295
686	2833	1290
687	2837	1286
688	2842	1282
689	2846	1278
690	2851	1275
691	2855	1270
692	2859	1266
693	2863	1262
694	2867	1258
695	2872	1254
696	2876	1250
697	2880	1246
698	2885	1242
699	2889	1238
700	2893	1234
701	2897	1230
702	2901	1225
703	2906	1221
704	2910	1217
705	2914	1213
706	2918	1209
707	2922	1205
708	2926	1201
709	2931	1197
710	2935	1193
711	2938	1188
712	2942	1184
713	2947	1180
714	2951	1176
715	2955	1172
716	2959	1167
717	2963	1163
718	2967	1159
719	2971	1155
720	2975	1151
721	2979	1147
722	2984	1143
723	2988	1139
724	2993	1135
725	2997	1131
726	3001	1127
727	3005	1122
728	3009	1118
729	3013	1114
730	3017	1110
731	3021	1106
732	3025	1102
733	3029	1097
734	3033	1093
735	3037	1089
736	3042	1085
737	3045	1081
738	3049	1077
739	3053	1072
740	3057	1068
741	3060	1064
742	3064	1060
743	3069	1056
744	3073	1052
745	3077	1047
746	3081	1043
747	3087	1040
748	3093	1036
749	3099	1033
750	3112	1032
751	3117	1028
752	3122	1024
753	3126	1020
754	3131	1016
755	3135	1011
756	3139	1007
757	3144	1003
758	3147	999
759	3151	995
760	3156	991
761	3160	987
762	3164	982
763	3168	978
764	3172	974
765	3176	970
766	3180	966
767	3184	961
768	3188	957
769	3191	953
770	3195	949
771	3200	945
772	3204	940
773	3207	936
774	3211	932
775	3215	928
776	3219	924
777	3223	919
778	3227	915
779	3231	911
780	3236	907
781	3239	903
782	3243	898
783	3247	894
784	3251	890
785	3255	886
786	3259	882
787	3263	878
788	3268	874
789	3271	869
790	3275	865
791	3280	861
792	3283	857
793	3287	853
794	3292	848
795	3296	844
796	3301	840
797	3304	836
798	3309	832
799	3313	828
800	3317	824
801	3321	819
802	3325	815
803	3328	811
804	3333	807
805	3337	803
806	3340	798
807	3345	794
808	3349	790
809	3353	786
810	3357	782
811	3361	778
812	3365	774
813	3368	769
814	3372	765
815	3376	761
816	3380	757
817	3385	753
818	3389	748
819	3393	744
820	3397	740
821	3401	736
822	3405	732
823	3408	728
824	3412	723
825	3416	719
826	3420	715
827	3424	711
828	3428	707
829	3432	703
830	3436	698
831	3440	694
832	3444	690
833	3448	686
834	3453	682
835	3457	678
836	3461	674
837	3465	669
838	3469	665
839	3473	661
840	3477	657
841	3481	653
842	3485	649
843	3489	645
844	3494	640
845	3498	636
846	3502	632
847	3506	628
848	3510	624
849	3513	620
850	3518	615
851	3521	611
852	3525	607
853	3529	603
854	3534	599
855	3538	595
856	3542	591
857	3545	586
858	3549	582
859	3554	578
860	3558	574
861	3562	570
862	3565	566
863	3569	561
864	3573	557
865	3577	553
866	3580	549
867	3585	545
868	3588	541
869	3592	536
870	3596	532
871	3601	528
872	3604	524
873	3609	520
874	3612	516
875	3616	511
876	3620	507
877	3624	503
878	3627	499
879	3631	495
880	3635	491
881	3639	486
882	3642	482
883	3646	478
884	3650	474
885	3654	470
886	3658	466
887	3661	461
888	3665	457
889	3669	453
890	3673	449
891	3676	445
892	3680	440
893	3683	436
894	3688	432
895	3691	428
896	3695	424
897	3698	420
898	3702	416
899	3707	411
900	3710	407
901	3715	403
902	3719	399
903	3723	395
904	3726	391
905	3730	387
906	3734	382
907	3738	378
908	3741	374
909	3745	370
910	3749	366
911	3753	362
912	3756	358
913	3760	353
914	3764	349
915	3768	345
916	3772	341
917	3775	337
918	3779	333
919	3783	328
920	3786	324
921	3790	320
922	3794	316
923	3797	312
924	3801	308
925	3804	304
926	3808	299
927	3811	295
928	3815	291
929	3819	287
930	3823	283
931	3827	279
932	3830	275
933	3834	270
934	3837	266
935	3841	262
936	3845	258
937	3849	254
938	3853	250
939	3857	246
940	3861	242
941	3864	237
942	3868	233
943	3872	229
944	3876	225
945	3880	221
946	3883	217
947	3887	213
948	3891	209
949	3894	204
950	3898	200
951	3902	196
952	3906	192
953	3909	188
954	3913	184
955	3917	180
956	3921	176
957	3924	172
958	3928	167
959	3932	163
960	3935	159
961	3938	155
962	3942	151
963	3946	147
964	3950	143
965	3953	139
966	3957	135
967	3961	130
968	3964	126
969	3967	122
970	3972	118
971	3976	114
972	3979	110
973	3983	106
974	3987	102
975	3990	98
976	3994	94
977	3997	89
978	4001	85
979	4004	81
980	4009	77
981	4012	73
982	4016	69
983	4020	65
984	4023	61
985	4027	57
986	4031	53
987	4035	49
988	4040	44
989	4044	40
990	4047	36
991	4051	32
992	4055	28
993	4059	24
994	4063	20
995	4067	16
996	4070	12
997	4074	8
998	4078	4
999	4082	0
